iter	R2	RMSE
0	0.003114396218	0.0006381172459
1	0.005864503945	0.0006372364511
2	0.008272888685	0.0006364641011
3	0.01042696982	0.0006357725094
4	0.01232620811	0.0006351621131
5	0.01403852954	0.0006346112867
6	0.01556224919	0.0006341207282
7	0.0169762909	0.0006336651406
8	0.01819267752	0.0006332729728
9	0.01930725112	0.0006329134166
10	0.02034653298	0.0006325779651
11	0.02134419375	0.0006322557803
12	0.02220961059	0.0006319761693
13	0.02299965991	0.000631720801
14	0.02373110976	0.0006314842819
15	0.02441554385	0.0006312628853
16	0.02499863062	0.0006310742107
17	0.02559306374	0.0006308818065
18	0.02613545703	0.0006307061953
19	0.02662414284	0.000630547931
20	0.02713824232	0.0006303813935
21	0.02761062116	0.0006302283322
22	0.0280435805	0.0006300880111
23	0.02845995311	0.0006299530361
24	0.02885125537	0.0006298261619
25	0.02921344406	0.0006297087045
26	0.02955626716	0.0006295975071
27	0.02991144598	0.0006294822814
28	0.03023776029	0.0006293764012
29	0.03053452031	0.0006292800951
30	0.03079712712	0.0006291948603
31	0.03107488067	0.0006291046967
32	0.03138528934	0.0006290039174
33	0.03173036612	0.0006288918636
34	0.03198533498	0.0006288090569
35	0.03225832613	0.000628720385
36	0.0324980066	0.0006286425226
37	0.03275379802	0.0006285594158
38	0.03301249107	0.0006284753551
39	0.03323863862	0.0006284018606
40	0.0334683167	0.0006283272099
41	0.03368735491	0.0006282560093
42	0.03392244396	0.0006281795821
43	0.03420644774	0.0006280872404
44	0.0344499495	0.0006280080568
45	0.03464231175	0.000627945496
46	0.03482147596	0.000627887222
47	0.03504736877	0.0006278137416
48	0.03523251092	0.0006277535104
49	0.03543030081	0.0006276891583
50	0.03566604505	0.0006276124489
51	0.03588236551	0.0006275420516
52	0.03604566454	0.0006274889039
53	0.03618510191	0.0006274435186
54	0.03640670492	0.0006273713827
55	0.03656719432	0.0006273191352
56	0.0367678283	0.0006272538125
57	0.03692775619	0.0006272017381
58	0.03708083801	0.0006271518887
59	0.03724593491	0.0006270981224
60	0.03737520613	0.00062705602
61	0.03757245417	0.0006269917728
62	0.03777573313	0.0006269255544
63	0.03790461474	0.0006268835673
64	0.03803454686	0.0006268412352
65	0.03821946645	0.0006267809832
66	0.03839467079	0.0006267238913
67	0.03853627509	0.0006266777444
68	0.03868745448	0.0006266284735
69	0.03883792973	0.0006265794282
70	0.03903127685	0.0006265164037
71	0.03915199756	0.0006264770497
72	0.03927685596	0.0006264363443
73	0.03941698402	0.0006263906576
74	0.03958280825	0.0006263365888
75	0.03969544655	0.0006262998591
76	0.03983963779	0.0006262528374
77	0.03994951648	0.0006262170029
78	0.04004428153	0.0006261860957
79	0.04022994192	0.0006261255389
80	0.0403554989	0.0006260845828
81	0.040477214	0.0006260448772
82	0.04062065506	0.0006259980811
83	0.04073127173	0.0006259619912
84	0.04080661802	0.0006259374075
85	0.04089995077	0.0006259069538
86	0.04100468989	0.0006258727766
87	0.04112113542	0.0006258347773
88	0.04123475862	0.0006257976968
89	0.04138910979	0.0006257473213
90	0.04147438653	0.0006257194879
91	0.04153806	0.0006256987047
92	0.04165178778	0.000625661582
93	0.04176799732	0.0006256236469
94	0.04187825812	0.0006255876516
95	0.04201076367	0.0006255443916
96	0.04213224438	0.0006255047283
97	0.04225928862	0.0006254632458
98	0.04234089289	0.000625436599
99	0.04249915084	0.0006253849186
100	0.04261970956	0.0006253455463
101	0.04271550421	0.0006253142597
102	0.04281662083	0.0006252812333
103	0.04294899206	0.000625237996
104	0.04308423452	0.0006251938177
105	0.04317695779	0.000625163527
106	0.0432673901	0.0006251339832
107	0.04337072314	0.0006251002231
108	0.04347779364	0.0006250652401
109	0.04360701191	0.000625023018
110	0.04370888415	0.0006249897293
111	0.04380604403	0.0006249579788
112	0.04391499753	0.0006249223724
113	0.04401973189	0.0006248881429
